bse_dt,tck_iem_cd,tot_hld_act_cnt,tot_hld_qty,tco_avg_hld_qty,tco_avg_hld_wht_rt,tco_avg_eal_pls,tco_avg_phs_uit_pr,tco_avg_pft_rt,tco_avg_hld_te_dd_cnt,dist_hnk_pct10_nmv,dist_hnk_pct30_nmv,dist_hnk_pct50_nmv,dist_hnk_pct70_nmv,dist_hnk_pct90_nmv,bse_end_pr,lss_ivo_rt,pft_ivo_rt,ifw_act_cnt,ofw_act_cnt,vw_tgt_cnt,rgs_tgt_cnt
2024-08-27,SOXL        ,35599,6516993,183.07,27.11,99394.24,52254.26,1.11,1.0,31534.19048,45004.041,52497.603,58913.95,73263.96,49474.148,0.6073,0.3923,561,297,0,0
2024-08-27,TQQQ        ,34556,4109369,118.92,28.69,3440641.24,72179.71,46.89,1.0,39877.0,59299.067,76007.667,87206.0,97827.217,90634.187,0.2377,0.7623,198,198,0,0
2024-08-27,QQQ         ,24741,306493,12.39,22.39,1741343.75,494172.44,28.76,1.0,364716.0,423879.346,465008.0,582185.978,643377.75,629302.524,0.1502,0.8498,71,52,0,0
2024-08-27,SCHD        ,20232,1205605,59.59,18.79,571732.93,102257.87,9.49,1.0,94297.04,97865.0,103085.0,106637.765,109552.0,110704.494,0.0501,0.9499,72,38,0,0
2024-08-27,SPY         ,17699,185252,10.47,24.09,1592401.7,603836.98,25.77,1.0,479351.7,531852.625,577610.75,693938.0,748821.5,742429.962,0.1293,0.8707,52,35,0,0
2024-08-27,VOO         ,12370,194072,15.69,28.36,1715786.14,585502.84,19.09,1.0,469805.25806,513154.0,605748.765,660483.0,693328.0,682325.208,0.1802,0.8198,60,38,0,0
2024-08-27,TMF         ,12187,2746761,225.38,29.02,-1658501.86,80170.86,-8.67,1.0,67498.75974,71933.937,76919.438,81933.767,100450.444,77474.628,0.4718,0.528,134,49,0,0
2024-08-27,SPLG        ,10222,328330,32.12,21.89,319230.28,77902.61,12.85,1.0,61827.67647,71830.0,81743.0,85739.8,88808.0,87298.193,0.2178,0.7822,52,25,0,0
2024-08-27,QLD         ,10148,845340,83.3,29.51,2420745.89,101287.71,29.53,1.0,73545.0,86902.0,98929.6,116057.68,131157.3,127478.331,0.1558,0.8442,47,30,0,0
2024-08-27,TSLL        ,9395,5131550,546.2,21.87,-1275625.43,15393.32,-15.52,1.0,11225.53333,13173.167,14798.762,17282.0,20464.36,12709.44,0.7573,0.2418,125,54,0,0
2024-08-27,JEPI        ,8363,638303,76.32,15.62,239833.7,74348.29,4.24,1.0,70702.625,72314.0,74299.1,76827.72,77877.12,77170.165,0.2531,0.7469,26,23,0,0
2024-08-27,NVDL        ,7201,922495,128.11,26.38,717983.02,87045.38,6.84,1.0,62912.0,80390.404,89145.72,94970.579,106785.444,87575.98,0.5552,0.4424,252,91,0,0
2024-08-27,QQQM        ,6525,111595,17.1,18.49,476431.46,232775.54,12.05,1.0,173641.3,215582.5,246280.0,259943.0,271999.0,258994.504,0.3142,0.6858,39,20,0,0
2024-08-27,ARKK        ,5433,107833,19.85,9.19,-1239245.87,136023.46,-50.77,1.0,85736.575,130019.6,144000.0,155189.8,165960.25,60541.939,0.979,0.021,3,3,0,0
2024-08-27,SPYG        ,4078,103825,25.46,17.11,739130.59,78459.49,37.3,1.0,60926.0,73030.667,77792.952,81920.667,98680.135,106865.281,0.0473,0.9527,4,4,0,0
2024-08-27,IVV         ,3574,47653,13.33,27.35,2272885.8,592474.9,29.61,1.0,459341.2,524529.0,561638.711,681038.0,748023.8,746190.298,0.1055,0.8945,11,6,0,0
2024-08-27,QYLD        ,3313,638248,192.65,15.18,-111472.78,24125.36,-2.4,1.0,22700.4,23556.412,24041.2,24660.833,25689.25,23552.181,0.7012,0.2988,10,11,0,0
2024-08-27,LIT         ,3234,105116,32.5,7.16,-955332.54,83007.92,-37.18,1.0,59268.34091,74674.778,82709.429,95582.298,104752.4,49659.497,0.9583,0.0417,1,1,0,0
2024-08-27,TLTW        ,2960,618472,208.94,15.83,-555883.04,37992.78,-6.94,1.0,35131.8,35869.0,36806.922,40087.778,41915.667,35652.627,0.7541,0.2459,20,5,0,0
2024-08-27,ICLN        ,2785,150559,54.06,7.29,-475031.49,28677.59,-31.53,1.0,22931.3913,25941.342,28134.918,31594.02,35027.733,19077.415,0.9806,0.0194,2,4,0,0
2024-08-27,SOXX        ,2649,72135,27.23,11.97,1940609.61,246221.56,30.99,1.0,157976.66667,186436.944,256133.429,302176.556,328424.333,301226.765,0.3141,0.6859,14,15,0,0
2024-08-27,VTI         ,2619,57976,22.14,27.09,1689528.72,314535.96,26.3,1.0,255311.5,275527.681,323465.467,354726.714,370628.0,366574.285,0.1497,0.8503,10,3,0,0
2024-08-27,JEPQ        ,2571,262377,102.05,14.75,115654.48,70339.99,1.62,1.0,63018.16591,69397.188,71669.875,73044.042,75584.928,71172.82,0.5476,0.4524,22,8,0,0
