bse_dt,tck_iem_cd,tot_hld_act_cnt,tot_hld_qty,tco_avg_hld_qty,tco_avg_hld_wht_rt,tco_avg_eal_pls,tco_avg_phs_uit_pr,tco_avg_pft_rt,tco_avg_hld_te_dd_cnt,dist_hnk_pct10_nmv,dist_hnk_pct30_nmv,dist_hnk_pct50_nmv,dist_hnk_pct70_nmv,dist_hnk_pct90_nmv,bse_end_pr,lss_ivo_rt,pft_ivo_rt,ifw_act_cnt,ofw_act_cnt,vw_tgt_cnt,rgs_tgt_cnt
2024-08-27,TSLA        ,86882,3987658,45.9,29.65,381732.71,283614.2,3.04,1.0,221531.625,252536.083,280474.14,310639.4,355436.667,282271.183,0.4872,0.5127,216,162,0,0
2024-08-27,AAPL        ,82790,1468415,17.74,21.96,1827388.91,198956.26,52.1,1.0,139054.6,160503.0,194297.0,228428.667,277810.75,300763.692,0.0545,0.9455,121,158,0,0
2024-08-27,NVDA        ,71818,6229569,86.74,27.37,7222053.23,125820.69,98.93,1.0,27578.23833,107898.611,155157.216,168163.333,177748.556,167420.388,0.3178,0.6822,502,289,0,0
2024-08-27,MSFT        ,41356,556331,13.45,16.23,1623121.2,444553.28,28.27,1.0,283952.0,359439.556,428716.0,550315.5,590146.5,547418.639,0.3152,0.6848,127,87,0,0
2024-08-27,IONQ        ,26340,9662488,366.84,20.61,-1492219.2,15679.25,-29.03,1.0,9931.7,12295.0,14573.083,17808.5,23275.371,9942.49,0.8986,0.1013,46,39,0,0
2024-08-27,GOOGL       ,26094,888891,34.06,15.86,2004511.51,182117.91,36.52,1.0,126391.95333,156751.649,175007.786,219433.333,240535.5,219978.364,0.2916,0.7084,123,66,0,0
2024-08-27,LCID        ,25214,6477024,256.88,21.61,-3385034.12,32019.99,-70.03,1.0,8249.93429,22034.4,30626.355,42919.988,56467.423,5639.815,0.9501,0.0495,46,80,0,0
2024-08-27,O           ,20798,1347213,64.78,16.57,460329.02,75370.64,9.52,1.0,69726.18182,72521.617,74789.018,78041.8,81701.818,81777.279,0.0971,0.9029,80,51,0,0
2024-08-27,KO          ,20627,324754,15.74,12.32,369377.01,69987.52,33.36,1.0,55308.66667,60913.0,70436.767,78161.0,85444.0,93785.184,0.002,0.998,43,42,0,0
2024-08-27,INTC        ,20312,1505058,74.1,11.59,-1109590.24,44658.98,-35.98,1.0,28032.6,38458.217,44538.265,51068.521,60029.0,26650.145,0.9998,0.0,157,81,0,0
2024-08-27,SBUX        ,17840,200236,11.22,10.57,142263.01,115178.05,11.13,1.0,100187.72727,106723.462,114816.2,124043.0,131794.5,126604.56,0.221,0.779,13,98,0,0
2024-08-27,DIS         ,17534,235672,13.44,11.84,-567065.42,174793.55,-25.77,1.0,128011.31818,161207.95,183064.0,194315.5,207097.0,121507.564,0.9424,0.0576,16,24,0,0
2024-08-27,CPNG        ,14375,507831,35.33,16.79,-77337.29,38615.15,-6.77,1.0,21496.8,29190.0,36576.9,49387.0,56437.8,30158.436,0.6602,0.3398,20,34,0,0
2024-08-27,NKE         ,14169,230418,16.26,9.36,-283642.62,138354.59,-13.52,1.0,102227.30952,113622.8,139300.0,153644.545,177918.667,111574.57,0.7413,0.2587,42,56,0,0
2024-08-27,AMZN        ,14125,409520,28.99,10.89,1369705.74,205610.52,25.52,1.0,149505.0,182167.267,202436.0,236647.6,255587.0,232344.37,0.339,0.661,53,39,0,0
2024-08-27,PLTR        ,13635,1745955,128.05,18.8,1722180.82,29743.59,49.1,1.0,21208.4,26182.029,29316.0,32541.083,40171.8,40842.313,0.0891,0.9109,96,97,0,0
2024-08-27,AMD         ,13156,259491,19.72,12.0,342944.58,183118.41,9.6,1.0,102337.75,153377.246,195268.0,219224.75,240224.0,198573.193,0.4846,0.5154,54,52,0,0
2024-08-27,T           ,11604,682814,58.84,10.62,-204465.66,30184.63,-11.73,1.0,23601.22973,28776.0,31661.0,32508.25,34503.18,26160.249,0.8009,0.1991,7,15,0,0
2024-08-27,PFE         ,11317,859020,75.91,11.79,-114506.37,42636.73,-3.79,1.0,36840.45588,38638.889,40049.748,43278.1,53224.231,38287.191,0.7617,0.2382,74,32,0,0
2024-08-27,RIVN        ,9785,1018370,104.07,12.98,-2588547.89,86922.83,-56.68,1.0,20366.0,34490.05,73796.65,133194.0,169160.0,19011.202,0.9306,0.0693,33,16,0,0
2024-08-27,TLT         ,9389,851801,90.72,15.99,58866.82,131562.4,0.5,1.0,123243.42892,126021.779,128740.0,131927.889,144467.154,129927.546,0.4221,0.5779,93,22,0,0
2024-08-27,META        ,9257,78238,8.45,12.39,2108510.26,433100.11,56.64,1.0,273428.78261,352091.6,390278.5,439599.0,678220.0,689926.966,0.0746,0.9252,27,28,0,0
2024-08-27,RBLX        ,9234,302174,32.72,12.8,-644710.2,84603.41,-25.3,1.0,53404.5,70341.649,83328.0,94704.28,118004.462,58172.166,0.8382,0.1618,3,22,0,0
2024-08-27,U           ,9091,702970,77.33,11.13,-2492506.49,95295.55,-57.88,1.0,30959.65,49686.125,99039.0,129631.5,165988.5,23459.515,0.9713,0.0286,6,25,0,0
2024-08-27,NKLA        ,8374,581015,69.38,15.16,-5722860.21,310352.5,-89.41,1.0,23749.5,46809.4,122504.485,381961.0,798562.0,9770.382,1.0,0.0,3,7,0,0
2024-08-27,FCEL        ,7654,959317,125.34,37.91,-478469.1,8815.85,-86.79,1.0,5241.0,7190.0,7802.0,9602.969,12762.0,581.192,0.9973,0.0,0,23,0,0
2024-08-27,JOBY        ,7162,4757821,664.31,20.63,-644549.33,8412.92,-12.33,1.0,6667.77389,7190.5,7929.25,8985.542,11031.216,6897.521,0.8214,0.1784,21,10,0,0
2024-08-27,PLUG        ,6760,4153847,614.47,12.13,-2551798.63,18039.5,-59.33,1.0,3383.94764,4487.444,8784.196,20407.391,49119.2,2846.384,0.9933,0.0065,29,13,0,0
2024-08-27,VZ          ,5538,234076,42.27,7.51,14142.0,56923.74,0.61,1.0,48511.46667,54154.571,56606.0,61774.263,63909.625,54928.589,0.6316,0.3684,10,18,0,0
2024-08-27,WBD         ,5434,140520,25.86,1.69,-374803.98,28213.61,-57.09,1.0,22566.51515,29472.5,29472.609,29472.667,29473.0,10895.682,1.0,0.0,0,6,0,0
2024-08-27,JNJ         ,5198,60072,11.56,7.88,241963.67,198166.02,10.63,1.0,178264.0,192331.5,201215.0,206000.8,214519.471,217927.086,0.0504,0.9496,15,17,0,0
2024-08-27,BA          ,5103,83507,16.36,11.98,-213536.63,245885.91,-5.38,1.0,210116.11,234211.6,248157.667,260712.0,278195.818,229670.845,0.7656,0.2344,13,8,0,0
2024-08-27,GOOG        ,5005,165486,33.06,13.75,2210435.53,175496.15,43.0,1.0,117615.08333,153301.0,168828.667,200259.673,240259.0,222322.607,0.229,0.771,26,13,0,0
2024-08-27,SOFI        ,4858,1747619,359.74,16.48,-1490633.87,17159.57,-28.98,1.0,9937.45161,13912.875,17605.9,20265.333,24188.3,10154.387,0.8835,0.1165,10,7,0,0
2024-08-27,TSLY        ,4820,1141574,236.84,18.03,-1812675.48,25733.12,-29.61,1.0,19618.99342,21624.343,23864.933,28445.817,34740.3,18190.386,0.9799,0.0201,33,19,0,0
2024-08-27,BB          ,4775,96129,20.13,38.03,-237929.41,13059.78,-79.09,1.0,9215.0,9719.0,11909.0,14832.952,19071.756,3124.404,1.0,0.0,0,1,0,0
2024-08-27,BAC         ,4619,134336,29.08,10.79,250643.64,45867.05,19.48,1.0,36720.0,41981.056,46578.0,50490.375,54596.333,52850.661,0.1905,0.8095,32,13,0,0
2024-08-27,QCOM        ,4618,81831,17.72,8.54,-152152.13,221270.68,-3.69,1.0,151882.6,172222.0,226523.2,269808.0,287927.75,224388.242,0.51,0.49,13,13,0,0
2024-08-27,CHPT        ,4503,1186317,263.45,14.59,-2097345.21,21302.09,-76.57,1.0,3289.34921,14668.5,24347.265,27557.0,35039.0,2435.972,0.9793,0.0207,4,3,0,0
2024-08-27,PYPL        ,4446,78619,17.68,9.89,-1320208.99,209783.21,-43.91,1.0,96237.0,167159.029,228367.5,252532.667,286566.25,95373.802,0.9053,0.0947,3,9,0,0
2024-08-27,MO          ,4312,237616,55.11,9.95,731201.36,56607.74,23.48,1.0,52159.5,53974.32,55782.0,57876.3,63406.0,69782.664,0.0016,0.9984,11,11,0,0
2024-08-27,SMR         ,4215,1509310,358.08,12.39,-419559.19,13358.79,-9.74,1.0,8221.91286,11625.0,12931.825,15059.302,18652.5,10855.98,0.7846,0.2154,37,23,0,0
2024-08-27,AVGO        ,3988,172761,43.32,13.36,760199.87,212444.96,9.06,1.0,179193.6,210508.286,222137.333,233558.0,244018.227,211320.976,0.6908,0.3092,31,22,0,0
2024-08-27,OXY         ,3988,227693,57.09,10.77,28985.44,77621.05,0.67,1.0,74841.0,77476.574,79299.0,82954.0,86339.667,75952.094,0.843,0.157,88,19,0,0
2024-08-27,CONY        ,3975,851632,214.25,20.64,-1311075.61,27391.67,-21.87,1.0,21938.95,25756.548,27453.5,29230.809,31998.0,21857.586,0.9067,0.0933,35,17,0,0
2024-08-27,GOEV        ,3763,877904,233.3,15.48,-5040627.39,127120.67,-91.63,1.0,4759.32462,17884.186,45349.857,187491.8,352231.75,1972.611,1.0,0.0,1,6,0,0
2024-08-27,OCGN        ,3711,317374,85.52,40.37,-365628.94,8692.17,-70.37,1.0,4451.0,7936.0,8611.0,9425.0,11871.0,1800.504,0.9962,0.0038,0,2,0,0
2024-08-27,MU          ,3666,131840,35.96,8.6,-835162.71,150916.98,-15.06,1.0,87637.7549,132112.095,160497.6,180970.0,194461.0,130947.244,0.7095,0.2905,32,18,0,0
2024-08-27,CCL         ,3565,431565,121.06,14.57,-188885.68,24885.29,-6.63,1.0,18773.6,22148.75,24983.792,28176.15,31014.824,21976.737,0.7133,0.2867,3,9,0,0
2024-08-27,ABNB        ,3366,41724,12.4,9.38,-374454.38,182588.59,-16.47,1.0,154914.5,165185.136,180808.0,197442.308,213728.0,153188.453,0.9242,0.0758,5,6,0,0
2024-08-27,GME         ,3329,347085,104.26,31.83,-1681150.93,52353.3,-36.31,1.0,32735.08696,39080.115,47359.192,59797.5,82215.781,28278.504,0.9682,0.0318,5,10,0,0
2024-08-27,AMC         ,3237,453694,140.16,21.48,-5476057.27,171075.78,-85.39,1.0,9857.875,64509.7,132040.262,227495.667,377703.75,6685.694,0.9778,0.0222,1,4,0,0
2024-08-27,XOM         ,2944,84031,28.54,8.85,2071881.92,107252.44,85.69,1.0,50381.9,65545.0,121577.571,148918.15,159507.0,157292.756,0.1613,0.8387,25,17,0,0
2024-08-27,LLY         ,2786,18689,6.71,13.06,1213524.74,1099619.05,16.79,1.0,788722.2,1056730.333,1163182.0,1224373.4,1270804.333,1258406.007,0.1701,0.8299,15,22,0,0
2024-08-27,OPEN        ,2783,2279837,819.2,12.97,-2011621.09,17733.33,-42.59,1.0,3095.25,6301.875,18182.0,27079.244,33489.8,3309.75,0.8656,0.1337,25,14,0,0
2024-08-27,NNOX        ,2779,1280784,460.88,23.93,-6401681.59,34151.08,-60.02,1.0,12316.2,20827.473,30919.0,43538.333,62113.2,9254.061,0.9838,0.0162,8,1,0,0
2024-08-27,V           ,2739,19980,7.29,8.33,522952.54,280115.76,25.3,1.0,231007.4,247145.0,259048.5,281877.75,371068.0,355083.184,0.2125,0.7875,6,7,0,0
2024-08-27,AAL         ,2668,305549,114.52,14.81,-575944.55,20737.1,-27.12,1.0,15381.82353,18454.0,20798.1,23332.385,25598.071,13517.032,0.9936,0.0064,4,1,0,0
2024-08-27,DAL         ,2626,89643,34.14,9.96,347936.18,44794.31,23.13,1.0,32209.5,41948.429,45483.0,48966.333,54479.462,54253.418,0.107,0.893,2,2,0,0
2024-08-27,BRK.B       ,2522,72382,28.7,15.24,5864406.3,454978.19,51.42,1.0,283872.48,389065.8,471379.62,550668.0,589554.0,601698.672,0.0468,0.9532,15,4,0,0
2024-08-27,SPCE        ,2501,94954,37.97,10.05,-5190344.81,458872.56,-93.61,1.0,48505.9375,149232.504,358117.0,629636.0,1054945.526,9333.512,1.0,0.0,1,2,0,0
2024-08-27,COIN        ,2399,52646,21.94,21.18,789914.11,276088.97,15.38,1.0,150268.76,258815.1,291592.5,323099.0,367641.0,270075.719,0.6369,0.3631,16,7,0,0
2024-08-27,MMM         ,2244,25350,11.3,8.15,204900.82,164876.72,11.6,1.0,126481.0,136596.714,162513.875,186139.333,215258.0,174556.244,0.4078,0.5922,4,3,0,0
2024-08-27,NFLX        ,2223,10632,4.78,11.9,1640965.03,570383.39,60.37,1.0,289230.0,471115.8,560037.0,627933.0,864490.8,911416.48,0.0378,0.9622,2,14,0,0
2024-08-27,LAZR        ,2222,1324226,595.96,13.69,-2883443.19,19156.27,-77.85,1.0,3112.75,11295.267,18928.707,25640.906,35731.0,1376.856,0.9914,0.0086,2,4,0,0
2024-08-27,ADBE        ,2194,11316,5.16,9.65,521219.77,651586.51,15.8,1.0,530051.125,628024.5,658874.0,687081.0,755238.0,740641.969,0.1395,0.8605,0,4,0,0
2024-08-27,HYLN        ,2121,116588,54.97,42.7,-649916.12,11837.79,-81.63,1.0,5250.0,9763.0,11934.0,13167.0,16594.29,2661.039,1.0,0.0,0,0,0,0
2024-08-27,UBER        ,2077,83652,40.28,16.15,1746173.46,59478.14,82.16,1.0,41555.8,49755.5,55049.5,60370.923,93817.667,96128.413,0.0775,0.9225,17,6,0,0
2024-08-27,PEP         ,1965,22500,11.45,9.93,130364.56,217567.23,5.14,1.0,167664.25,218926.0,225261.45,231243.0,237820.875,232966.867,0.258,0.742,5,8,0,0
2024-08-27,PG          ,1803,12953,7.18,6.39,329639.2,181258.65,25.54,1.0,144561.20833,155871.0,181399.0,195789.0,227358.0,225525.84,0.1342,0.8658,3,4,0,0
2024-08-27,GM          ,1798,48554,27.0,8.53,282246.28,56437.5,19.32,1.0,44268.0,51199.5,58071.5,62150.0,66866.0,64540.043,0.1852,0.8148,2,5,0,0
2024-08-27,F           ,1789,83206,46.51,12.76,-113464.4,17709.07,-14.23,1.0,13368.0,15244.0,16834.0,19612.0,23469.905,14708.593,0.7613,0.2387,5,5,0,0
2024-08-27,OUST        ,1764,103846,58.87,10.41,-3368342.35,190219.33,-85.06,1.0,22455.88,100764.875,179961.469,260161.85,364701.0,10048.401,0.9853,0.0147,1,0,0,0
2024-08-27,TLRY        ,1761,688313,390.86,18.34,-2074920.87,23760.91,-68.31,1.0,2703.4,11934.0,21112.808,32168.667,47485.8,2462.454,0.9358,0.0642,6,9,0,0
2024-08-27,MRK         ,1733,25714,14.84,8.02,581638.53,114729.35,34.17,1.0,84775.08,88112.9,96368.5,141828.796,164472.0,153930.152,0.2464,0.7536,14,9,0,0
2024-08-27,TDOC        ,1730,140688,81.32,5.51,-3680493.7,134784.25,-82.38,1.0,23384.42529,68462.0,140438.72,197901.6,242189.0,9677.727,1.0,0.0,6,2,0,0
2024-08-27,SMCI        ,1693,16543,9.77,12.13,-2398336.28,1018813.44,-24.79,1.0,732923.5,848833.0,1027613.9,1148810.762,1301145.0,744706.989,0.8848,0.1152,33,46,0,0
2024-08-27,QS          ,1681,595312,354.14,12.02,-3516169.41,33021.58,-55.55,1.0,8705.33333,14239.711,27702.764,44680.836,65213.0,7943.4,0.9542,0.0458,5,1,0,0
2024-08-27,NVDY        ,1648,199535,121.08,17.06,-385745.84,36509.78,-8.65,1.0,32437.78808,35069.033,36822.176,38451.0,39966.425,33640.299,0.8428,0.1572,15,5,0,0
2024-08-27,CVX         ,1624,21960,13.52,8.0,78933.63,195503.77,3.06,1.0,133521.33333,197272.0,202116.2,211318.0,217964.0,196598.723,0.7408,0.2592,32,7,0,0
2024-08-27,BYND        ,1613,116551,72.26,7.25,-1828005.03,90341.01,-74.56,1.0,12640.0,49711.0,93274.733,132211.0,158169.6,8631.828,0.9851,0.0149,2,0,0,0
2024-08-27,SQ          ,1609,29223,18.16,6.57,-1301418.28,194101.28,-45.22,1.0,93468.0,156121.66,206255.0,240446.0,274138.154,86794.887,0.964,0.036,2,3,0,0
2024-08-27,ONL         ,1579,24793,15.7,1.58,-167624.58,30127.54,-66.08,1.0,21800.90909,32431.5,32431.714,32432.0,32432.0,5480.946,1.0,0.0,17,17,0,0
2024-08-27,CSCO        ,1570,25732,16.39,5.72,106388.05,58410.58,10.69,1.0,48152.5,50928.667,60829.0,64378.5,66625.333,67240.804,0.0688,0.9312,1,8,0,0
2024-08-27,ABBV        ,1541,18531,12.03,7.95,1084151.87,174238.47,52.65,1.0,118444.5,131388.0,177938.0,204037.0,233790.267,261390.848,0.0195,0.9805,7,0,0,0
2024-08-27,MRNA        ,1533,32437,21.16,9.0,-1542638.85,234983.87,-40.28,1.0,112432.5,137519.5,171877.9,291058.207,456252.0,108109.6,0.9387,0.0613,13,6,0,0
2024-08-27,VUZI        ,1495,156465,104.66,32.8,-806507.1,15607.94,-87.06,1.0,6844.0,13412.0,16179.0,19280.0,21513.5,1145.174,0.9973,0.0,4,1,0,0
2024-08-27,NVAX        ,1438,248545,172.84,16.36,-17007902.99,124299.48,-86.59,1.0,16540.02817,31096.143,128257.766,190607.0,245642.921,15238.126,0.9318,0.0682,3,4,0,0
2024-08-27,COST        ,1434,10715,7.47,14.05,2216943.67,884729.07,33.53,1.0,422565.0,657850.5,980549.333,1144148.0,1182134.5,1181591.341,0.1053,0.8947,5,13,0,0
2024-08-27,JPM         ,1422,14434,10.15,8.13,1067044.02,190344.9,56.81,1.0,122856.5,164077.0,176927.4,197804.0,278146.824,290157.481,0.0338,0.9662,5,5,0,0
2024-08-27,MCD         ,1369,8703,6.36,9.41,328169.29,327018.46,15.62,1.0,238883.8,304672.667,349577.857,360209.0,375701.0,382182.79,0.0446,0.9554,4,7,0,0
2024-08-27,NEE         ,1362,22900,16.81,7.45,264680.06,91571.98,17.3,1.0,78525.84848,85039.75,91045.833,99033.0,105345.0,106759.406,0.0419,0.9581,9,2,0,0
2024-08-27,CRSP        ,1346,50353,37.41,10.25,-1569569.52,127889.91,-39.19,1.0,72092.0,87342.263,117542.0,164316.222,195577.444,65096.163,0.9777,0.0223,3,1,0,0
